iter	Accuracy	MultiClass
830	0.9689806396	0.3336518334
831	0.968766713	0.3333523837
832	0.968766713	0.3331892594
833	0.968766713	0.3329140737
834	0.968766713	0.3326242038
835	0.9700502728	0.3320537438
836	0.9700502728	0.3318407841
837	0.9700502728	0.3314921371
838	0.9700502728	0.3312007822
839	0.9698363461	0.3309266632
840	0.9695154562	0.3307997555
841	0.9700502728	0.3304149066
842	0.970478126	0.3300468816
843	0.9702641994	0.329797426
844	0.970478126	0.3293590415
845	0.970478126	0.3290989217
846	0.970478126	0.3288429214
847	0.9702641994	0.3285908976
848	0.9702641994	0.3283705131
849	0.9702641994	0.32824987
850	0.9702641994	0.3280301779
851	0.9714407958	0.3279568583
852	0.9715477591	0.3276939666
853	0.9715477591	0.327394156
854	0.9714407958	0.3268900008
855	0.9722965023	0.3266815141
856	0.9719756124	0.3266119273
857	0.972189539	0.3264503193
858	0.9725104289	0.326289222
859	0.972189539	0.3260984855
860	0.972189539	0.3257931935
861	0.9720825757	0.3255460169
862	0.9722965023	0.3252237584
863	0.9732591721	0.3247799271
864	0.9732591721	0.3244775303
865	0.9730452455	0.3243737958
866	0.9727243555	0.323840746
867	0.9731522088	0.3235662003
868	0.9731522088	0.3233435624
869	0.9729382822	0.322874005
870	0.9727243555	0.3222919291
871	0.9727243555	0.3219529746
872	0.9729382822	0.3216729642
873	0.9729382822	0.3214618165
874	0.9729382822	0.3212171756
875	0.9727243555	0.3209271276
876	0.9727243555	0.3207481034
877	0.9729382822	0.3205548333
878	0.9732591721	0.3201522227
